type,name,architecture,library
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForLoadedOneSharedLibrary],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForLoadedSharedLibraries:],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForLoadingExecutable],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForLoadingSymbolsForSharedLibrary:],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForLoadingTotalStackFrames:percentDone:],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForMovePC:],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForMovePCFailed:],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForOKButtonLabel],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStateAtBreakpointNumber],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStateAtBreakpoint],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStateAtWatchpoint:],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStateExitedWithValue:],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStateGotCaughtException:],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStateGotSignal:],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStateGotUncaughtException:],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStateInterrupted],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStateNextInstruction],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStateNotExecuting],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStateRunning],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStateStepCompleted],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStateStepInstruction],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStateSteppingInto],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStateSteppingOut],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStateSteppingOver],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStateStopped],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForStoppedState:],X86_64,
Text Section (Local),+[PBXLSDynamicLinkerImage _myBundle],X86_64,
Text Section (Local),+[PBXLSDynamicLinkerImage nameFromPath:],X86_64,
Text Section (Local),+[PBXLSDynamicLinkerImage stringForSharedLibraryStatus:],X86_64,
Text Section (Local),+[PBXLSDynamicLinkerImage stringForSymbolsLevel:],X86_64,
Text Section (Local),+[PBXLSDynamicLinkerImage stringForSymbolsLoadTime:],X86_64,
Text Section (Local),+[PBXLSDynamicLinkerImage symbolLevelArray],X86_64,
Text Section (Local),+[PBXLSDynamicLinkerImage systemLibraryFrameworksNameRegEx],X86_64,
Text Section (Local),+[PBXLSDynamicLinkerImage systemLibraryPrivateFrameworksNameRegEx],X86_64,
Text Section (Local),+[PBXLSDynamicLinkerImage systemUsrLibNameRegEx],X86_64,
Text Section (Local),+[PBXLSModel initialize],X86_64,
Text Section (Local),+[PBXLSModel stringForValidityStatus:],X86_64,
Text Section (Local),+[PBXLSProcess _sequenceClassesForUpdateStackSequenceToJumpInFront],X86_64,
BSS Section (Local),+[PBXLSProcess _sequenceClassesForUpdateStackSequenceToJumpInFront]._sequenceClasses,X86_64,
BSS Section (Local),+[PBXLSProcess _sequenceClassesForUpdateStackSequenceToJumpInFront].once,X86_64,
Text Section (Local),+[PBXLSStackFrame globalStackFrame],X86_64,
BSS Section (Local),+[PBXLSStackFrame globalStackFrame]._globalStackFrame,X86_64,
BSS Section (Local),+[PBXLSStackFrame globalStackFrame].once,X86_64,
Text Section (Local),+[PBXLSStackFrame uninitializedFramePointer],X86_64,
Text Section (Local),+[PBXLSStackFrame uninitializedStackFrame],X86_64,
BSS Section (Local),+[PBXLSStackFrame uninitializedStackFrame]._uninitializedStackFrame,X86_64,
BSS Section (Local),+[PBXLSStackFrame uninitializedStackFrame].once,X86_64,
Text Section (Local),+[PBXLSTypeController typeControllerForSession:],X86_64,
